"","50|MEA","30|MEA","50|SAS","30|SAS","30|FSU","10|FSU","10|SAS","67|SAS","148|CPA","13|AFR","57|AFR","38|AFR","6|AFR","161|AFR","0|EEU","14|MEA","93|LAM","139|LAM","100|LAM","137|LAM","76|LAM","84|LAM","75|LAM","111|LAM","155|LAM","31|FSU","22|PAO","21|PAO","19|PAO","20|PAO","18|PAO","91|PAO","149|PAO","48|WEU","39|WEU","39|EEU","48|EEU","96|AFR","158|AFR","95|AFR","8|AFR","7|AFR","53|SAS","65|SAS","24|SAS","24|PAS","28|LAM","106|EEU","106|FSU","42|FSU","51|FSU","32|LAM","9|LAM","152|LAM","101|LAM","99|LAM","125|LAM","113|LAM","46|LAM","29|LAM","73|PAS","53|CPA","107|AFR","80|AFR","78|AFR","109|NAM","52|NAM","81|NAM","103|NAM","36|NAM","126|NAM","90|NAM","63|NAM","142|NAM","17|NAM","153|NAM","47|WEU","119|WEU","67|CPA","54|CPA","77|CPA","118|CPA","105|CPA","159|CPA","70|CPA","88|CPA","62|CPA","61|CPA","60|CPA","162|CPA","11|CPA","35|CPA","98|CPA","123|CPA","37|LAM","83|LAM","108|LAM","82|AFR","33|LAM","85|WEU","41|WEU","121|AFR","5|AFR","145|WEU","4|MEA","3|MEA","3|AFR","87|MEA","95|MEA","78|MEA","134|LAM","116|LAM","96|MEA","5|MEA","85|MEA","120|MEA","40|MEA","4|WEU","45|WEU","86|WEU","130|AFR","127|WEU","51|WEU","127|FSU","140|PAS","49|WEU","68|WEU","128|WEU","25|FSU","26|FSU","129|AFR","0|WEU","144|PAS","114|PAS","72|PAS","143|PAS","110|PAS","69|PAS","124|SAS","66|SAS","12|SAS","70|PAS","70|SAS","31|MEA","151|MEA","34|MEA","115|MEA","64|WEU","150|WEU","71|PAO","154|FSU","146|FSU","105|FSU","77|FSU","54|FSU","1|AFR","148|FSU","59|CPA","156|CPA","98|PAS","141|SAS","39|FSU","43|FSU","27|LAM","97|LAM","122|LAM","59|PAS","88|PAS","160|CPA","2|AFR","135|AFR","4|AFR","92|AFR","94|PAO","115|SAS","15|SAS","117|PAS","112|PAS","133|PAS","28|NAM","132|FSU","157|FSU","44|FSU","23|FSU","74|FSU","160|FSU","131|FSU","79|FSU","11|FSU","123|FSU","71|FSU","26|WEU","151|WEU","31|WEU","147|PAS","104|NAM","27|NAM","55|NAM","97|NAM","33|NAM","122|NAM","56|NAM","58|NAM","136|AFR"
"2010",0.864,0.917,0.387,0.438,0.941,0.937,0.364,0.543,0.611,0.446,0.456,0.388,0.308,0.486,0.878,0.915,0.899,0.94,0.905,0.901,0.599,0.917,0.789,0.895,0.678,0.83,0.915,0.909,0.95,0.524,0.915,0.95,0.926,0.941,0.95,0.873,0.949,0.321,0.436,0.375,0.538,0.52,0.474,0.464,0.594,0.566,0.729,0.923,0.882,0.915,0.775,0.859,0.635,0.725,0.769,0.655,0.615,0.645,0.584,0.788,0.767,0.588,0.796,0.784,0.387,0.933,0.87,0.936,0.936,0.949,0.937,0.949,0.936,0.943,0.927,0.916,0.874,0.923,0,0.735,0.649,0,0.616,0.657,0.631,0.673,0.67,0.72,0.635,0.724,0.726,0.693,0.724,0.718,0.853,0.824,0.774,0.2,0.866,0.883,0.899,0.086,0.164,0.934,0.807,0.914,0.756,0.844,0,0.305,0,0.703,0.722,0.462,0.839,0.69,0.93,0.845,0.89,0.805,0.15,0.93,0.943,0.704,0.887,0.915,0.881,0,0.843,0.627,0.303,0.859,0.719,0.911,0.73,0.638,0.64,0.281,0.484,0.503,0,0.688,0.47,0.918,0.909,0.926,0.908,0.759,0.861,0.916,0.833,0.949,0.821,0.948,0,0.399,0,0.648,0.766,0.902,0.805,0.843,0.895,0.881,0.903,0.904,0.94,0.939,0.733,0.274,0.706,0.301,0.401,0.898,0.568,0.684,0.806,0.182,0,0.889,0.735,0.824,0.855,0.781,0.721,0.801,0.721,0.768,0.795,0.538,0,0.872,0.894,0.872,0.912,0.93,0.92,0.949,0.947,0.948,0.947,0.949,0.912,0.859
"2020",0.906,0.966,0.402,0.461,0.991,0.987,0.384,0.571,0.644,0.454,0.476,0.393,0.318,0.483,0.924,0.96,0.946,0.99,0.954,0.949,0.633,0.964,0.829,0.943,0.712,0.876,0.964,0.958,0.999,0.56,0.964,0.999,0.974,0.99,0.999,0.919,0.999,0.332,0.436,0.391,0.558,0.538,0.49,0.486,0.624,0.609,0.762,0.972,0.929,0.962,0.818,0.9,0.667,0.759,0.817,0.683,0.647,0.673,0.616,0.83,0.813,0.618,0.829,0.821,0.399,0.982,0.916,0.985,0.985,0.998,0.986,0.999,0.985,0.992,0.977,0.965,0.921,0.972,0,0.773,0.684,0,0.648,0.69,0.665,0.706,0.704,0.758,0.676,0.758,0.761,0.727,0.761,0.756,0.897,0.867,0.813,0.202,0.908,0.93,0.946,0.085,0.168,0.983,0.85,0.962,0.768,0.892,0,0.318,0,0.74,0.745,0.522,0.887,0.699,0.979,0.889,0.935,0.848,0.128,0.979,0.992,0.742,0.931,0.964,0.932,0.998,0.882,0.671,0.313,0.902,0.755,0.96,0.767,0.669,0.679,0.259,0.51,0.524,0,0.723,0.495,0.966,0.956,0.975,0.956,0.806,0.906,0.963,0.879,0.998,0.866,0.992,0,0.4,0,0.685,0.803,0.95,0.876,0.895,0.943,0.927,0.951,0.949,0.989,0.99,0.765,0.279,0.741,0.316,0.423,0.946,0.598,0.72,0.848,0.192,0,0.936,0.773,0.867,0.898,0.823,0.759,0.844,0.759,0.806,0.838,0.573,0,0.919,0.94,0.918,0.959,0.98,0.968,0.998,0.996,0.998,0.997,0.999,0.962,0.905
"2030",0.922,0.97,0.458,0.492,0.99,0.934,0.45,0.622,0.785,0.59,0.578,0.434,0.53,0.519,0.93,0.961,0.966,0.985,0.952,0.963,0.778,0.958,0.888,0.959,0.794,0.912,0.966,0.96,0.999,0.566,0.965,0.999,0.974,0.99,0.999,0.947,0.999,0.436,0.481,0.452,0.623,0.573,0.626,0.65,0.651,0.628,0.768,0.981,0.956,0.966,0.873,0.913,0.77,0.819,0.84,0.759,0.776,0.763,0.701,0.865,0.855,0.756,0.872,0.861,0.463,0.983,0.919,0.991,0.991,0.998,0.992,0.999,0.991,0.995,0.982,0.965,0.922,0.975,0,0.861,0.81,0,0.783,0.81,0.789,0.758,0.817,0.829,0.791,0.851,0.855,0.828,0.849,0.853,0.905,0.903,0.878,0.313,0.923,0.945,0.947,0.281,0.262,0.983,0.869,0.958,0.711,0.897,0,0.448,0,0.822,0.767,0.655,0.883,0.702,0.947,0.892,0.935,0.85,0.263,0.979,0.994,0.795,0.869,0.965,0.936,0.999,0.906,0.733,0.44,0.911,0.82,0.96,0.817,0.746,0.747,0.48,0.671,0.656,0,0.698,0.684,0.969,0.924,0.975,0.963,0.809,0.909,0.963,0.929,0.944,0.922,0.994,0,0.469,0,0.751,0.828,0.956,0.896,0.918,0.935,0.94,0.971,0.969,0.989,0.992,0.85,0.369,0.786,0.427,0.638,0.947,0.621,0.683,0.786,0.467,0,0.945,0.86,0.92,0.933,0.894,0.855,0.906,0.855,0.878,0.903,0.644,0,0.941,0.923,0.921,0.959,0.981,0.969,0.998,0.997,0.999,0.998,0.999,0.963,0.927
"2040",0.944,0.983,0.534,0.551,0.995,0.945,0.527,0.705,0.872,0.655,0.697,0.51,0.645,0.609,0.941,0.963,0.98,0.991,0.956,0.977,0.869,0.968,0.93,0.971,0.849,0.941,0.968,0.962,0.999,0.614,0.966,0.999,0.974,0.99,0.999,0.969,0.999,0.569,0.574,0.542,0.723,0.669,0.76,0.784,0.737,0.682,0.805,0.986,0.974,0.982,0.907,0.939,0.858,0.879,0.876,0.83,0.863,0.841,0.774,0.901,0.892,0.855,0.914,0.897,0.55,0.984,0.921,0.995,0.994,0.999,0.995,0.999,0.995,0.997,0.986,0.966,0.924,0.977,0,0.917,0.887,0,0.872,0.887,0.875,0.843,0.891,0.882,0.866,0.911,0.913,0.889,0.903,0.912,0.933,0.937,0.926,0.425,0.948,0.959,0.948,0.463,0.339,0.984,0.917,0.972,0.741,0.911,0,0.591,0,0.875,0.831,0.722,0.901,0.746,0.97,0.894,0.937,0.855,0.371,0.979,0.994,0.827,0.887,0.966,0.94,0.999,0.932,0.784,0.583,0.916,0.881,0.964,0.879,0.806,0.813,0.666,0.798,0.767,0,0.728,0.814,0.982,0.931,0.986,0.977,0.811,0.911,0.963,0.959,0.96,0.954,0.996,0,0.569,0,0.842,0.876,0.959,0.885,0.954,0.961,0.949,0.982,0.981,0.992,0.996,0.912,0.471,0.83,0.553,0.779,0.948,0.7,0.723,0.787,0.677,0.674,0.952,0.913,0.952,0.96,0.937,0.913,0.944,0.913,0.927,0.942,0.69,0,0.957,0.939,0.943,0.959,0.982,0.969,0.999,0.998,0.999,0.998,0.999,0.964,0.943
"2050",0.962,0.99,0.639,0.646,0.997,0.956,0.631,0.806,0.923,0.729,0.81,0.631,0.741,0.73,0.949,0.964,0.988,0.994,0.958,0.987,0.924,0.979,0.957,0.979,0.883,0.963,0.969,0.963,0.999,0.62,0.966,0.999,0.975,0.99,0.999,0.982,0.999,0.719,0.701,0.66,0.819,0.775,0.857,0.869,0.838,0.754,0.856,0.989,0.984,0.99,0.928,0.963,0.916,0.925,0.91,0.885,0.918,0.901,0.827,0.929,0.914,0.914,0.948,0.928,0.665,0.985,0.922,0.997,0.997,0.999,0.997,0.999,0.997,0.998,0.988,0.966,0.925,0.978,0,0.95,0.932,0,0.924,0.932,0.926,0.913,0.935,0.917,0.912,0.947,0.948,0.926,0.935,0.948,0.957,0.963,0.957,0.564,0.969,0.967,0.947,0.653,0.403,0.984,0.944,0.983,0.823,0.923,0,0.74,0,0.907,0.893,0.815,0.916,0.812,0.989,0.897,0.939,0.858,0.483,0.98,0.995,0.846,0.93,0.967,0.943,0.999,0.947,0.815,0.729,0.92,0.917,0.966,0.917,0.843,0.862,0.794,0.878,0.836,0,0.784,0.89,0.99,0.945,0.993,0.986,0.812,0.913,0.963,0.975,0.982,0.973,0.997,0,0.695,0,0.907,0.917,0.961,0.904,0.975,0.976,0.956,0.989,0.989,0.993,0.998,0.948,0.603,0.874,0.674,0.864,0.949,0.808,0.806,0.822,0.829,0.814,0.956,0.945,0.971,0.976,0.962,0.948,0.966,0.948,0.957,0.965,0.723,0,0.968,0.961,0.964,0.959,0.982,0.97,0.999,0.999,0.999,0.999,0.999,0.965,0.953
"2060",0.976,0.994,0.767,0.77,0.998,0.969,0.762,0.895,0.954,0.821,0.893,0.78,0.831,0.848,0.954,0.966,0.993,0.997,0.96,0.992,0.956,0.988,0.973,0.984,0.905,0.979,0.97,0.964,0.999,0.624,0.967,0.999,0.976,0.99,0.999,0.99,0.999,0.85,0.833,0.792,0.894,0.861,0.919,0.918,0.912,0.819,0.897,0.991,0.991,0.995,0.941,0.978,0.951,0.956,0.929,0.923,0.951,0.941,0.862,0.946,0.925,0.949,0.972,0.958,0.791,0.985,0.924,0.998,0.998,0.999,0.998,0.999,0.998,0.999,0.989,0.966,0.926,0.979,0,0.97,0.959,0,0.955,0.959,0.956,0.954,0.961,0.938,0.94,0.968,0.969,0.948,0.954,0.969,0.971,0.979,0.975,0.724,0.981,0.973,0.948,0.815,0.469,0.984,0.956,0.991,0.902,0.932,0,0.864,0,0.925,0.942,0.894,0.922,0.881,0.996,0.898,0.94,0.86,0.582,0.98,0.995,0.857,0.961,0.967,0.945,0.999,0.955,0.833,0.845,0.922,0.938,0.967,0.938,0.867,0.856,0.87,0.925,0.875,0.632,0.846,0.935,0.994,0.961,0.996,0.991,0.813,0.914,0.963,0.985,0.994,0.984,0.998,0,0.816,0,0.947,0.942,0.962,0.912,0.986,0.982,0.96,0.994,0.993,0.994,0.998,0.969,0.749,0.914,0.761,0.914,0.949,0.902,0.884,0.865,0.897,0.893,0.958,0.964,0.983,0.986,0.977,0.969,0.98,0.969,0.974,0.979,0.744,0,0.974,0.978,0.979,0.959,0.983,0.97,0.999,0.999,0.999,0.999,0.999,0.965,0.959
"2070",0.988,0.997,0.888,0.886,0.998,0.984,0.881,0.95,0.972,0.902,0.941,0.9,0.904,0.93,0.957,0.969,0.996,0.998,0.961,0.996,0.974,0.993,0.982,0.986,0.917,0.989,0.97,0.965,0.999,0.625,0.967,0.999,0.976,0.99,0.999,0.994,0.999,0.929,0.925,0.898,0.94,0.915,0.955,0.947,0.954,0.877,0.919,0.992,0.994,0.997,0.948,0.986,0.971,0.975,0.942,0.946,0.971,0.966,0.885,0.957,0.933,0.969,0.984,0.977,0.893,0.986,0.924,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.99,0.966,0.927,0.979,0,0.982,0.976,0,0.973,0.976,0.974,0.975,0.977,0.95,0.957,0.981,0.981,0.961,0.966,0.981,0.979,0.988,0.985,0.861,0.988,0.975,0.948,0.914,0.55,0.984,0.963,0.996,0.951,0.936,0,0.934,0,0.936,0.971,0.936,0.927,0.932,0.998,0.9,0.941,0.861,0.664,0.98,0.995,0.864,0.974,0.968,0.946,0.999,0.959,0.845,0.917,0.924,0.95,0.968,0.95,0.879,0.882,0.913,0.954,0.899,0.503,0.902,0.961,0.997,0.979,0.998,0.993,0.814,0.915,0.963,0.991,0.998,0.99,0.998,0,0.894,0,0.969,0.957,0.963,0.918,0.992,0.984,0.962,0.996,0.996,0.994,0.999,0.981,0.862,0.939,0.806,0.945,0.95,0.956,0.929,0.898,0.938,0.937,0.96,0.976,0.99,0.991,0.986,0.981,0.988,0.981,0.985,0.987,0.758,0,0.978,0.988,0.988,0.959,0.983,0.97,0.999,0.999,0.999,0.999,0.999,0.965,0.962
"2080",0.994,0.998,0.955,0.956,0.999,0.992,0.953,0.976,0.983,0.951,0.965,0.96,0.951,0.969,0.958,0.971,0.998,0.999,0.961,0.997,0.984,0.996,0.988,0.988,0.925,0.994,0.971,0.966,0.999,0.625,0.967,0.999,0.977,0.99,0.999,0.996,0.999,0.964,0.967,0.957,0.963,0.941,0.975,0.964,0.973,0.915,0.928,0.992,0.997,0.998,0.953,0.989,0.983,0.986,0.949,0.961,0.983,0.981,0.898,0.962,0.939,0.982,0.991,0.988,0.951,0.986,0.925,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.991,0.966,0.928,0.979,0,0.989,0.985,0,0.984,0.985,0.984,0.986,0.986,0.957,0.965,0.988,0.989,0.969,0.973,0.989,0.984,0.993,0.991,0.935,0.991,0.977,0.948,0.956,0.643,0.984,0.967,0.998,0.972,0.938,0,0.966,0,0.943,0.983,0.957,0.93,0.96,0.999,0.902,0.941,0.863,0.721,0.98,0.996,0.868,0.979,0.968,0.946,0.999,0.962,0.853,0.96,0.925,0.957,0.968,0.956,0.886,0.895,0.939,0.971,0.914,0.511,0.945,0.977,0.998,0.992,0.999,0.994,0.815,0.915,0.963,0.995,0.999,0.994,0.999,0,0.932,0,0.979,0.965,0.963,0.922,0.995,0.986,0.963,0.998,0.998,0.994,0.999,0.989,0.928,0.95,0.828,0.963,0.95,0.979,0.947,0.917,0.963,0.962,0.96,0.983,0.994,0.995,0.992,0.989,0.993,0.989,0.991,0.993,0.768,0,0.981,0.994,0.994,0.959,0.984,0.97,0.999,0.999,0.999,0.999,0.999,0.966,0.964
"2090",0.993,0.999,0.981,0.982,0.999,0.996,0.981,0.987,0.99,0.973,0.978,0.981,0.975,0.985,0.959,0.972,0.999,0.999,0.961,0.999,0.99,0.998,0.991,0.989,0.929,0.997,0.971,0.966,0.999,0.625,0.967,0.999,0.978,0.99,0.999,0.998,0.999,0.98,0.983,0.98,0.974,0.952,0.985,0.973,0.981,0.94,0.931,0.992,0.998,0.998,0.956,0.991,0.99,0.992,0.953,0.968,0.99,0.989,0.905,0.966,0.943,0.989,0.994,0.993,0.977,0.986,0.925,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.991,0.967,0.928,0.979,0,0.994,0.991,0,0.99,0.991,0.991,0.991,0.992,0.961,0.971,0.993,0.993,0.973,0.977,0.993,0.986,0.996,0.995,0.963,0.993,0.978,0.948,0.975,0.733,0.984,0.969,0.999,0.983,0.939,0,0.981,0,0.947,0.989,0.967,0.932,0.974,0.999,0.904,0.941,0.864,0.778,0.98,0.996,0.871,0.98,0.968,0.947,0.999,0.963,0.857,0.979,0.925,0.96,0.968,0.96,0.89,0.903,0.955,0.981,0.924,0.515,0.971,0.986,0.999,0.997,0.999,0.995,0.815,0.915,0.963,0.997,0.999,0.996,0.999,0,0.949,0,0.984,0.968,0.964,0.926,0.997,0.986,0.964,0.999,0.998,0.994,0.999,0.993,0.958,0.955,0.839,0.975,0.95,0.989,0.954,0.926,0.978,0.977,0.961,0.988,0.996,0.997,0.995,0.993,0.996,0.993,0.995,0.996,0.776,0,0.983,0.997,0.997,0.959,0.984,0.97,0.999,0.999,0.999,0.999,0.999,0.966,0.965
"2100",0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.966,0.978000000000001,0.99,0.99,0.964,0.99,0.99,0.99,0.99,0.99,0.953,0.99,0.97,0.968,0.99,0.628,0.967,0.99,0.976,0.989999999999999,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.985,0.99,0.99,0.99,0.969,0.99,0.99,0.99,0.981,0.99,0.99,0.99,0.954,0.99,0.957,0.99,0.99,0.99,0.99,0.989,0.924,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.966,0.93,0.979,0,0.99,0.99,0,0.99,0.99,0.99,0.99,0.99,0.986,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.981,0.947999999999999,0.99,0.793,0.984,0.984,0.99,0.99,0.948000000000001,0,0.99,0,0.969,0.99,0.99,0.942,0.99,0.99,0.906000000000001,0.944,0.864,0.91,0.979999999999999,0.99,0.885,0.99,0.971,0.949,0.99,0.971,0.881,0.99,0.93,0.986,0.971,0.985999999999999,0.915000000000001,0.959999999999999,0.99,0.99,0.971,0.116,0.99,0.99,0.99,0.99,0.99,0.99,0.817,0.918,0.963,0.99,0.99,0.99,0.99,0,0.99,0,0.99,0.99,0.966,0.935999999999999,0.99,0.99,0.968,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.941,0.99,0.953,0.99,0.99,0.99,0.99,0.99,0.966,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.8,0,0.99,0.99,0.99,0.959,0.983,0.970000000000001,0.99,0.99,0.99,0.99,0.99,0.965,0.971000000000001
