"year","1|Eastern","10|Lusaka","11|Southern","12|Western","13|North-Western","14|Southern","15|Luapula","16|Muchinga","17|Northern","18|Northern","19|Central","2|Central","20|Northern","21|Eastern","22|Southern","23|Muchinga","24|Central","3|Lusaka","4|Central","5|Copperbelt","6|Lusaka","7|Lusaka","8|North-Western","9|Western"
2010,0.2176,0.3528,0.2304,0,0.196,0,0.208,0.2016,0.1928,0,0,0.4312,0,0.196,0.1992,0.32,0.1928,0.2656,0.2832,0.4496,0,0.2656,0.4112,0.1744
2020,0.22,0.3712,0.236,0,0.2056,0,0.2184,0.2128,0.2024,0,0,0.4544,0,0.2088,0.2088,0.3296,0.2024,0.28,0.296,0.4728,0,0.2608,0.4328,0.1848
2030,0.5676,0.5644,0.5728,0,0.5656,0,0.5672,0.5656,0.5656,0.5568,0,0.64,0,0.5668,0.5664,0.5776,0.5648,0.5868,0.5892,0.642,0,0.5812,0.5968,0.5868
2040,0.792,0.792,0.792,0,0.792,0,0.792,0.792,0.792,0.792,0,0.792,0,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792
2050,0.792,0.792,0.792,0,0.792,0,0.792,0.792,0.792,0.792,0,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792
2060,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792
2070,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792
2080,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792
2090,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792
2100,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792
2110,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792,0.792
