"","SAS","AFR","EEU","MEA","LAM","FSU","PAO","WEU","PAS","NAM","CPA"
"1",0.002,0.044,0.559,0.369,0.277,0.141,0.883,0.817,0.082,0.672,0.132
"2",0.018,0.033,0.516,0.257,0.197,0.174,0.901,0.779,0.083,0.796,0.168
"3",0.042,0.032,0.607,0.224,0.175,0.31,0.937,0.806,0.128,0.877,0.427
"4",0.084,0.038,0.733,0.262,0.202,0.449,0.963,0.865,0.236,0.926,0.657
"5",0.155,0.055,0.837,0.36,0.287,0.568,0.979,0.924,0.397,0.956,0.777
"6",0.286,0.098,0.911,0.48,0.401,0.692,0.989,0.964,0.558,0.974,0.849
"7",0.485,0.201,0.956,0.589,0.537,0.817,0.994,0.984,0.687,0.984,0.913
"8",0.704,0.414,0.978,0.707,0.68,0.91,0.996,0.992,0.798,0.991,0.959
"9",0.868,0.695,0.989,0.83,0.812,0.963,0.998,0.996,0.88,0.994,0.981
"10",1.082,0.509999999999999,1.091,0.916,0.944999999999999,1.192,1.009,1.044,1.074,1.014,1.105
"11",1.281,0.612999999999999,1.136,1.025,1.081,1.317,1.014,1.064,1.203,1.024,1.169
