BCU_name,year,tec_type,cap_km3_year
0|EEU,1995,membrane,0.014163172833442853
0|EEU,2000,membrane,0.01200938292852968
0|EEU,2005,membrane,0.013142370198664438
0|EEU,2010,membrane,0.015778229460289898
0|EEU,2015,membrane,0.015436797881014555
0|EEU,2020,membrane,0.024618639389630166
0|EEU,2025,membrane,0.024618639389630166
0|WEU,1995,distillation,0.0010978833047633023
0|WEU,1995,membrane,0.0026480713071330942
0|WEU,2000,distillation,0.0017382470820182536
0|WEU,2000,membrane,0.005513854264829524
0|WEU,2005,distillation,0.0009294650598758067
0|WEU,2005,membrane,0.010320291086507966
0|WEU,2010,distillation,0.00043501678615678397
0|WEU,2010,membrane,0.016987696762136267
0|WEU,2015,distillation,0.003159077884942531
0|WEU,2015,membrane,0.010223096331014906
0|WEU,2020,distillation,0.0028469881034453083
0|WEU,2020,membrane,0.003947694434730107
0|WEU,2025,distillation,0.0028469881034453083
0|WEU,2025,membrane,0.003947694434730107
100|LAM,1995,distillation,0.0021169901221907176
100|LAM,1995,membrane,0.002003299610346619
100|LAM,2000,distillation,0.002244229138638686
100|LAM,2000,membrane,0.006620677664978384
100|LAM,2005,distillation,0.0018367628675020247
100|LAM,2005,membrane,0.011907633053802567
100|LAM,2010,distillation,0.00834585503381155
100|LAM,2010,membrane,0.02447145688375077
100|LAM,2015,distillation,0.026774817461795896
100|LAM,2015,membrane,0.06649315159452708
100|LAM,2020,distillation,0.0211868456176103
100|LAM,2020,membrane,0.07125873134368998
100|LAM,2025,distillation,0.0211868456176103
100|LAM,2025,membrane,0.07125873134368998
103|NAM,1995,distillation,0.0010085649464461335
103|NAM,1995,membrane,0.0029935303432439045
103|NAM,2000,distillation,0.0006307020367432235
103|NAM,2000,membrane,0.003583957117627517
103|NAM,2005,distillation,0.001169938499301229
103|NAM,2005,membrane,0.005395567894467731
103|NAM,2010,distillation,0.001256717719208986
103|NAM,2010,membrane,0.006013446600183454
103|NAM,2015,distillation,0.0023828280654559415
103|NAM,2015,membrane,0.006802384015753515
103|NAM,2020,distillation,0.004473005216615914
103|NAM,2020,membrane,0.0028687993800096167
103|NAM,2025,distillation,0.004473005216615914
103|NAM,2025,membrane,0.0028687993800096167
105|FSU,1995,distillation,0.003612771618198832
105|FSU,1995,membrane,0.0003492258512976996
105|FSU,2000,distillation,0.00038104626681940756
105|FSU,2000,membrane,0.00044610532701798894
105|FSU,2005,distillation,0.0010852268974492509
105|FSU,2005,membrane,0.0010974605563744597
105|FSU,2010,distillation,0.0011154140229316144
105|FSU,2010,membrane,0.0011257506434041032
105|FSU,2015,distillation,0.0028411555268163502
105|FSU,2015,membrane,0.001189448247828514
105|FSU,2020,membrane,0.002342393538677658
105|FSU,2025,membrane,0.002342393538677658
106|EEU,1995,distillation,0.0035420181745849585
106|EEU,1995,membrane,0.016258571195532166
106|EEU,2000,distillation,0.0022837083705595537
106|EEU,2000,membrane,0.013786134622099697
106|EEU,2005,distillation,0.0007139676646176926
106|EEU,2005,membrane,0.015086743914363751
106|EEU,2010,distillation,0.00024372131249213752
106|EEU,2010,membrane,0.018112570540255665
106|EEU,2015,distillation,0.002877390616943353
106|EEU,2015,membrane,0.01772062519684057
106|EEU,2020,distillation,0.010709517256072701
106|EEU,2020,membrane,0.028260892242189528
106|EEU,2025,distillation,0.010709517256072701
106|EEU,2025,membrane,0.028260892242189528
107|AFR,1995,distillation,0.0018691769952340895
107|AFR,1995,membrane,0.001435783795740214
107|AFR,2000,distillation,0.0013404558867691155
107|AFR,2000,membrane,0.0014682607056351392
107|AFR,2005,distillation,0.004104810296414866
107|AFR,2005,membrane,0.0053301618684651955
107|AFR,2010,distillation,0.011901740982971889
107|AFR,2010,membrane,0.030914538919225184
107|AFR,2015,distillation,0.01673240416725318
107|AFR,2015,membrane,0.05486449926509879
107|AFR,2020,distillation,0.01161843363180024
107|AFR,2020,membrane,0.03199764223748787
107|AFR,2025,distillation,0.01161843363180024
107|AFR,2025,membrane,0.03199764223748787
108|LAM,1995,distillation,0.0022585229573510415
108|LAM,1995,membrane,0.0010752074910866513
108|LAM,2000,distillation,0.0023942686260276257
108|LAM,2000,membrane,0.003553438629293772
108|LAM,2005,distillation,0.001959560916217411
108|LAM,2005,membrane,0.006391044152574004
108|LAM,2010,distillation,0.008903822930019803
108|LAM,2010,membrane,0.013134277880012285
108|LAM,2015,distillation,0.02856486635552745
108|LAM,2015,membrane,0.035688088956412095
108|LAM,2020,distillation,0.022603306798478447
108|LAM,2020,membrane,0.03824586265097406
108|LAM,2025,distillation,0.022603306798478447
108|LAM,2025,membrane,0.03824586265097406
109|NAM,1995,membrane,0.000513668415895374
109|NAM,2000,membrane,0.0006149814313402737
109|NAM,2005,membrane,0.0009258408953369213
109|NAM,2010,membrane,0.0010318644660339026
109|NAM,2015,membrane,0.0011672404889999223
109|NAM,2020,membrane,0.0004922654739000602
109|NAM,2025,membrane,0.0004922654739000602
10|FSU,1995,membrane,0.0022820566103919117
10|FSU,2000,membrane,0.0029151267200566294
10|FSU,2005,membrane,0.0071714826036282575
10|FSU,2010,membrane,0.007356347440737713
10|FSU,2015,membrane,0.007772586784711541
10|FSU,2020,membrane,0.015306640786228252
10|FSU,2025,membrane,0.015306640786228252
10|SAS,1995,membrane,5.790218093370942e-06
10|SAS,2000,membrane,7.318056890167021e-06
10|SAS,2005,membrane,1.748716679681711e-05
10|SAS,2010,membrane,4.621656581872605e-05
10|SAS,2015,membrane,0.00012147533582909298
10|SAS,2020,membrane,0.00015925993424187627
10|SAS,2025,membrane,0.00015925993424187627
111|LAM,1995,membrane,1.3025751028372233e-05
111|LAM,2000,membrane,4.3048627603033276e-05
111|LAM,2005,membrane,7.742519526033901e-05
111|LAM,2010,membrane,0.00015911704021852747
111|LAM,2015,membrane,0.0004323483283722408
111|LAM,2020,membrane,0.00046333483433362723
111|LAM,2025,membrane,0.00046333483433362723
114|PAS,1995,distillation,1.8669431078987485e-05
114|PAS,1995,membrane,0.0007485706875413577
114|PAS,2000,distillation,1.757302130319138e-05
114|PAS,2000,membrane,0.0013278148079547967
114|PAS,2005,distillation,7.0136434738829e-06
114|PAS,2005,membrane,0.0029667081105327936
114|PAS,2010,distillation,6.815395947787907e-06
114|PAS,2010,membrane,0.004166899648645068
114|PAS,2015,distillation,2.764532683851995e-05
114|PAS,2015,membrane,0.007269494285821705
114|PAS,2020,distillation,1.5048330648678397e-05
114|PAS,2020,membrane,0.0068387793809401055
114|PAS,2025,distillation,1.5048330648678397e-05
114|PAS,2025,membrane,0.0068387793809401055
115|MEA,1995,distillation,0.003844595027682337
115|MEA,1995,membrane,0.003044295532857963
115|MEA,2000,distillation,0.008311942893621095
115|MEA,2000,membrane,0.0030930381513274104
115|MEA,2005,distillation,0.01809438048665004
115|MEA,2005,membrane,0.007640639660867006
115|MEA,2010,distillation,0.027288064513783242
115|MEA,2010,membrane,0.017273318632697158
115|MEA,2015,distillation,0.018160842103464366
115|MEA,2015,membrane,0.026284978543716843
115|MEA,2020,distillation,0.011456213879809673
115|MEA,2020,membrane,0.016888123067588776
115|MEA,2025,distillation,0.011456213879809673
115|MEA,2025,membrane,0.016888123067588776
115|SAS,1995,distillation,0.0013388714599387543
115|SAS,1995,membrane,6.0092826924668924e-05
115|SAS,2000,distillation,0.0042155908055933194
115|SAS,2000,membrane,7.594925079405206e-05
115|SAS,2005,distillation,0.0018962103895652795
115|SAS,2005,membrane,0.00018148768678109725
115|SAS,2010,distillation,0.009865997802067096
115|SAS,2010,membrane,0.00047965103317557393
115|SAS,2015,distillation,0.01586868792887235
115|SAS,2015,membrane,0.0012607118097936673
115|SAS,2020,distillation,0.03666099125097989
115|SAS,2020,membrane,0.0016528530549459065
115|SAS,2025,distillation,0.03666099125097989
115|SAS,2025,membrane,0.0016528530549459065
116|LAM,1995,distillation,0.0018519888250278537
116|LAM,1995,membrane,0.00023127492320690243
116|LAM,2000,distillation,0.0019633002733426526
116|LAM,2000,membrane,0.0007643373515560141
116|LAM,2005,distillation,0.0016068399512982768
116|LAM,2005,membrane,0.0013747004720964654
116|LAM,2010,distillation,0.007301134802616237
116|LAM,2010,membrane,0.002825156198463609
116|LAM,2015,distillation,0.023423190411532503
116|LAM,2015,membrane,0.007676434642818293
116|LAM,2020,distillation,0.01853471157475232
116|LAM,2020,membrane,0.008226606511684838
116|LAM,2025,distillation,0.01853471157475232
116|LAM,2025,membrane,0.008226606511684838
117|PAS,1995,distillation,0.0019537763814172124
117|PAS,1995,membrane,0.0013692310088736573
117|PAS,2000,distillation,0.0018390358992224256
117|PAS,2000,membrane,0.0024287421874141725
117|PAS,2005,distillation,0.0007339854604555283
117|PAS,2005,membrane,0.005426486511995638
117|PAS,2010,distillation,0.0007132386400237728
117|PAS,2010,membrane,0.007621789504647623
117|PAS,2015,distillation,0.0028931136897069804
117|PAS,2015,membrane,0.013296829759216313
117|PAS,2020,distillation,0.0015748242609404223
117|PAS,2020,membrane,0.012508997409428544
117|PAS,2025,distillation,0.0015748242609404223
117|PAS,2025,membrane,0.012508997409428544
119|WEU,1995,distillation,0.0028718006672728115
119|WEU,1995,membrane,0.0023404563690752472
119|WEU,2000,distillation,0.004546839457679215
119|WEU,2000,membrane,0.0048733337722103726
119|WEU,2005,distillation,0.002431258739045657
119|WEU,2005,membrane,0.009121427711959292
119|WEU,2010,distillation,0.001137900076756577
119|WEU,2010,membrane,0.015014309839679277
119|WEU,2015,distillation,0.008263393694560889
119|WEU,2015,membrane,0.009035523648907182
119|WEU,2020,distillation,0.007447041320074258
119|WEU,2020,membrane,0.0034891079247144326
119|WEU,2025,distillation,0.007447041320074258
119|WEU,2025,membrane,0.0034891079247144326
11|CHN,1995,membrane,0.0032453785802023867
11|CHN,2000,membrane,0.010886893742456343
11|CHN,2005,membrane,0.02497298001655987
11|CHN,2010,membrane,0.07592823633912503
11|CHN,2015,membrane,0.0949366237055582
11|CHN,2020,membrane,0.07741305940805089
11|CHN,2025,membrane,0.07741305940805089
120|MEA,1995,distillation,0.055645341334824835
120|MEA,1995,membrane,0.10418532200655568
120|MEA,2000,distillation,0.12030419228574564
120|MEA,2000,membrane,0.10585344697861274
120|MEA,2005,distillation,0.26189181725826977
120|MEA,2005,membrane,0.2614866049670843
120|MEA,2010,distillation,0.3949580263468137
120|MEA,2010,membrane,0.5911470303869991
120|MEA,2015,distillation,0.262853759758499
120|MEA,2015,membrane,0.8995542397099844
120|MEA,2020,distillation,0.16581328518521923
120|MEA,2020,membrane,0.5779644324581316
120|MEA,2025,distillation,0.16581328518521923
120|MEA,2025,membrane,0.5779644324581316
121|AFR,1995,membrane,4.4645856146281965e-05
121|AFR,2000,membrane,4.56557292563884e-05
121|AFR,2005,membrane,0.0001657419736327433
121|AFR,2010,membrane,0.0009612910115793594
121|AFR,2015,membrane,0.0017060176810705506
121|AFR,2020,membrane,0.000994970229217964
121|AFR,2025,membrane,0.000994970229217964
122|LAM,1995,distillation,0.0005871450758048307
122|LAM,1995,membrane,0.0036605977224701044
122|LAM,2000,distillation,0.0006224346887201544
122|LAM,2000,membrane,0.012097859679329352
122|LAM,2005,distillation,0.0005094243292731897
122|LAM,2005,membrane,0.021758629718505992
122|LAM,2010,distillation,0.0023147144784088666
122|LAM,2010,membrane,0.044716306473340704
122|LAM,2015,distillation,0.007425968625681849
122|LAM,2015,membrane,0.12150188520461519
122|LAM,2020,distillation,0.005876150269111344
122|LAM,2020,membrane,0.13020995377605418
122|LAM,2025,distillation,0.005876150269111344
122|LAM,2025,membrane,0.13020995377605418
