utype,cooling,investment_million_USD_per_MW_low,investment_million_USD_per_MW_mid,investment_million_USD_per_MW_high,mix_R11_AFR,mix_R11_CPA,mix_R11_EEU,mix_R11_FSU,mix_R11_LAM,mix_R11_MEA,mix_R11_NAM,mix_R11_PAO,mix_R11_PAS,mix_R11_SAS,mix_R11_WEU,utype_pl
bio_hpl,air,0.16,0.22,0.35,0,0,0.060651323,0,0,0,0.015279585,0.042880435,0,0.052842006,0.059832425,0
bio_hpl,cl_fresh,0.05,0.1,0.15,0.793096335,1,0.853124222,0.334180432,0.92790759,0.949408246,0.808578306,0.747005435,0.887367808,0.924710333,0.510667331,0
bio_hpl,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0.002138214,0,0.081698237,0.609911055,0.001179096,0.050591754,0.097789343,0.012961586,0.000840892,0,0.180516268,0
bio_hpl,ot_saline,2.00E-04,3.00E-04,5.00E-04,0.20476545,0,0.004526218,0.055908513,0.070913314,0,0.078352766,0.197152544,0.1117913,0.022447661,0.248983976,0
bio_istig,air,0.16,0.22,0.35,0,0,0.060651323,0,0,0,0.015279585,0.042880435,0,0.052842006,0.059832425,0
bio_istig,cl_fresh,0.05,0.1,0.15,0.793096335,1,0.853124222,0.334180432,0.92790759,0.949408246,0.808578306,0.747005435,0.887367808,0.924710333,0.510667331,0
bio_istig,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0.002138214,0,0.081698237,0.609911055,0.001179096,0.050591754,0.097789343,0.012961586,0.000840892,0,0.180516268,0
bio_istig,ot_saline,2.00E-04,3.00E-04,5.00E-04,0.20476545,0,0.004526218,0.055908513,0.070913314,0,0.078352766,0.197152544,0.1117913,0.022447661,0.248983976,0
bio_istig_ccs,cl_fresh,0.05,0.1,0.15,0.793096335,1,0.853124222,0.334180432,0.92790759,0.949408246,0.808578306,0.747005435,0.887367808,0.924710333,0.510667331,0
bio_istig_ccs,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0.002138214,0,0.081698237,0.609911055,0.001179096,0.050591754,0.097789343,0.012961586,0.000840892,0,0.180516268,0
bio_istig_ccs,ot_saline,2.00E-04,3.00E-04,5.00E-04,0.20476545,0,0.004526218,0.055908513,0.070913314,0,0.078352766,0.197152544,0.1117913,0.022447661,0.248983976,0
bio_ppl,air,0.16,0.22,0.35,0,0,0.060651323,0,0,0,0.015279585,0.042880435,0,0.052842006,0.059832425,bio_ppl
bio_ppl,cl_fresh,0.05,0.1,0.15,0.793096335,1,0.853124222,0.334180432,0.92790759,0.949408246,0.808578306,0.747005435,0.887367808,0.924710333,0.510667331,bio_ppl
bio_ppl,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0.002138214,0,0.081698237,0.609911055,0.001179096,0.050591754,0.097789343,0.012961586,0.000840892,0,0.180516268,bio_ppl
bio_ppl,ot_saline,2.00E-04,3.00E-04,5.00E-04,0.20476545,0,0.004526218,0.055908513,0.070913314,0,0.078352766,0.197152544,0.1117913,0.022447661,0.248983976,bio_ppl
coal_adv,air,0.16,0.22,0.35,0,0.080894174,0,0,0,0,0.010215882,0,0,0,0,coal_adv
coal_adv,cl_fresh,0.05,0.1,0.15,1,0.347870467,1,1,1,1,0.748827852,0,0.142857143,0.377358491,0.583128855,coal_adv
coal_adv,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0.124786281,0,0,0,0,0.216512901,0,0,0,0.073612309,coal_adv
coal_adv,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0.446449078,0,0,0,0,0.024443365,1,0.857142857,0.622641509,0.343258837,coal_adv
coal_adv_ccs,cl_fresh,0.11,0.16,0.2,1,0.347870467,1,1,1,1,0.748827852,0,0.142857143,0.377358491,0.583128855,0
coal_adv_ccs,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0.124786281,0,0,0,0,0.216512901,0,0,0,0.073612309,0
coal_adv_ccs,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0.446449078,0,0,0,0,0.024443365,1,0.857142857,0.622641509,0.343258837,0
coal_ppl,air,0.16,0.22,0.35,0,0.08818685,0.007526165,0,0,0.001551186,0.008632619,0.053672899,0,0,0,coal_ppl
coal_ppl,cl_fresh,0.05,0.1,0.15,0.983803795,0.652548674,0.808992927,0.56020319,0.608016888,0.188635539,0.793840538,0.230844307,0.275122386,0.959918489,0.708086935,coal_ppl
coal_ppl,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0.050414421,0.183393394,0.43979681,0.001982396,0.001551186,0.172273068,0.002354363,0,0.000450538,0.059296567,coal_ppl
coal_ppl,ot_saline,2.00E-04,3.00E-04,5.00E-04,0.016196205,0.208850055,8.75E-05,0,0.390000716,0.808262088,0.025253775,0.713128431,0.724877614,0.039630972,0.232616498,coal_ppl
coal_ppl_u,air,0.16,0.22,0.35,0.147681682,0.091503724,0.021958876,0,0,0,0.000698046,0,0,0.002946556,0.011186054,coal_ppl_u
coal_ppl_u,cl_fresh,0.11,0.16,0.2,0.846931738,0.735589453,0.71882571,0.591049574,0.543629497,0.094233474,0.537277145,0.628509191,0.487143691,0.883697268,0.667756308,coal_ppl_u
coal_ppl_u,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0.078077284,0.241918866,0.391438133,0.071556351,0,0.423243168,0.015852769,0,0.087707645,0.041062213,coal_ppl_u
coal_ppl_u,ot_saline,2.00E-04,3.00E-04,5.00E-04,0.005386581,0.094829539,0.017296548,0.017512293,0.384814152,0.905766526,0.038781641,0.355638039,0.512856309,0.02564853,0.279995425,coal_ppl_u
csp_sm1_res,air,0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,0
csp_sm1_res,cl_fresh,0.05,0.1,0.15,1,1,1,1,1,1,0.983695408,1,1,1,0.999377627,0
csp_sm1_res,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm1_res,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm1_res1,air,0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,0
csp_sm1_res1,cl_fresh,0.05,0.1,0.15,1,1,1,1,1,1,0.983695408,1,1,1,0.999377627,0
csp_sm1_res1,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm1_res1,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm1_res2,air,0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,0
csp_sm1_res2,cl_fresh,0.05,0.1,0.15,1,1,1,1,1,1,0.983695408,1,1,1,0.999377627,0
csp_sm1_res2,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm1_res2,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm1_res3,air,0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,0
csp_sm1_res3,cl_fresh,0.05,0.1,0.15,1,1,1,1,1,1,0.983695408,1,1,1,0.999377627,0
csp_sm1_res3,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm1_res3,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm1_res4,air,0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,0
csp_sm1_res4,cl_fresh,0.05,0.1,0.15,1,1,1,1,1,1,0.983695408,1,1,1,0.999377627,0
csp_sm1_res4,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm1_res4,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm1_res5,air,0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,0
csp_sm1_res5,cl_fresh,0.05,0.1,0.15,1,1,1,1,1,1,0.983695408,1,1,1,0.999377627,0
csp_sm1_res5,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm1_res5,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm1_res6,air,0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,0
csp_sm1_res6,cl_fresh,0.05,0.1,0.15,1,1,1,1,1,1,0.983695408,1,1,1,0.999377627,0
csp_sm1_res6,ot_fresh,2.00E-04,4.00E-04,6.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm1_res6,ot_saline,2.00E-04,3.00E-04,5.00E-04,0,0,0,0,0,0,0,0,0,0,0,0
csp_sm1_res7,air,0.16,0.22,0.35,0,0,0,0,0,0,0.016304592,0,0,0,0.000622373,0
