"cooling_utype","utype","cooling","LAM","SAS","AFR","EEU","MEA","PAO","WEU","PAS","NAM","CPA","SCS","UBM","CAS","RUS"
"bio_hpl.ot_fresh","bio_hpl","ot_fresh",0,0,0,0,0,0,0,0,0,0,0.547,0,0.088,0
"bio_hpl.cl_fresh","bio_hpl","cl_fresh",0.873,0.912,0.754,0.988,1,0.762,0.554,0.891,0.856,0.972,0.375,1,0.855,0
"bio_hpl.ot_saline","bio_hpl","ot_saline",0.127,0.027,0.246,0,0,0.189,0.377,0.109,0.127,0.028,0.078,0,0.057,1
"bio_hpl.air","bio_hpl","air",0,0.061,0,0.012,0,0.049,0.069,0,0.017,0,0,0,0,0
"bio_istig.ot_fresh","bio_istig","ot_fresh",0,0,0,0,0,0,0,0,0,0,0.547,0,0.088,0
"bio_istig.cl_fresh","bio_istig","cl_fresh",0.873,0.912,0.754,0.988,1,0.762,0.554,0.891,0.856,0.972,0.375,1,0.855,0
"bio_istig.ot_saline","bio_istig","ot_saline",0.127,0.027,0.246,0,0,0.189,0.377,0.109,0.127,0.028,0.078,0,0.057,1
"bio_istig.air","bio_istig","air",0,0.061,0,0.012,0,0.049,0.069,0,0.017,0,0,0,0,0
"bio_istig_ccs.ot_fresh","bio_istig_ccs","ot_fresh",0.049,0.016,0,0.161,0.102,0,0.138,0.008,0.127,0.001,0.547,0.31,0.088,0.257
"bio_istig_ccs.cl_fresh","bio_istig_ccs","cl_fresh",0.442,0.849,0.853,0.791,0.261,0.109,0.343,0.123,0.654,0.691,0.375,0.686,0.855,0.614
"bio_istig_ccs.ot_saline","bio_istig_ccs","ot_saline",0.509,0.134,0.146,0.048,0.638,0.891,0.519,0.869,0.218,0.309,0.078,0.004,0.057,0.128
"bio_ppl.ot_fresh","bio_ppl","ot_fresh",0,0,0,0,0,0,0,0,0,0,0.547,0,0.088,0
"bio_ppl.cl_fresh","bio_ppl","cl_fresh",0.873,0.912,0.754,0.988,1,0.762,0.554,0.891,0.856,0.972,0.375,1,0.855,0
"bio_ppl.ot_saline","bio_ppl","ot_saline",0.127,0.027,0.246,0,0,0.189,0.377,0.109,0.127,0.028,0.078,0,0.057,1
"bio_ppl.air","bio_ppl","air",0,0.061,0,0.012,0,0.049,0.069,0,0.017,0,0,0,0,0
"coal_adv.ot_fresh","coal_adv","ot_fresh",0,0,0,0,0,0,0,0,0,0,0.547,0,0,0
"coal_adv.cl_fresh","coal_adv","cl_fresh",0.796,0.908,0.491,0.945,1,0.234,0.768,0.506,0.986,0.892,0.375,0.989,1,0.952
"coal_adv.ot_saline","coal_adv","ot_saline",0.204,0.092,0.509,0.055,0,0.766,0.232,0.494,0.014,0.108,0.078,0.011,0,0.048
