node_loc,technology,year_act,time,value,unit
R12_AFR,gas_pipe_mea,broadcast,year,1,km
R12_AFR,gas_pipe_weu,broadcast,year,1,km
R12_EEU,gas_pipe_fsu,broadcast,year,1,km
R12_EEU,gas_pipe_weu,broadcast,year,1,km
R12_LAM,gas_pipe_nam,broadcast,year,1,km
R12_MEA,gas_pipe_afr,broadcast,year,1,km
R12_MEA,gas_pipe_sas,broadcast,year,1,km
R12_MEA,gas_pipe_fsu,broadcast,year,1,km
R12_MEA,gas_pipe_weu,broadcast,year,1,km
R12_MEA,gas_pipe_eeu,broadcast,year,1,km
R12_NAM,gas_pipe_lam,broadcast,year,1,km
R12_SAS,gas_pipe_mea,broadcast,year,1,km
R12_SAS,gas_pipe_fsu,broadcast,year,1,km
R12_SAS,gas_pipe_pas,broadcast,year,1,km
R12_WEU,gas_pipe_afr,broadcast,year,1,km
R12_WEU,gas_pipe_mea,broadcast,year,1,km
R12_WEU,gas_pipe_fsu,broadcast,year,1,km
R12_WEU,gas_pipe_eeu,broadcast,year,1,km
R12_FSU,gas_pipe_chn,broadcast,year,1,km
R12_FSU,gas_pipe_rcpa,broadcast,year,1,km
R12_FSU,gas_pipe_sas,broadcast,year,1,km
R12_FSU,gas_pipe_mea,broadcast,year,1,km
R12_FSU,gas_pipe_pas,broadcast,year,1,km
R12_FSU,gas_pipe_weu,broadcast,year,1,km
R12_FSU,gas_pipe_eeu,broadcast,year,1,km
R12_PAS,gas_pipe_chn,broadcast,year,1,km
R12_PAS,gas_pipe_rcpa,broadcast,year,1,km
R12_PAS,gas_pipe_fsu,broadcast,year,1,km
R12_CHN,gas_pipe_fsu,broadcast,year,1,km
