node,type_emission,type_tec,year,lvl,mrg
World,TCE,all,2025,102.1439278727925,0.0
World,TCE,all,2030,130.36441186537496,0.0
World,TCE,all,2035,166.3816952699343,0.0
World,TCE,all,2040,212.34989001051068,0.0
World,TCE,all,2045,271.0182494193178,0.0
World,TCE,all,2050,345.89559483490166,0.0
World,TCE,all,2055,441.4601702377553,0.0
World,TCE,all,2060,563.4274758525585,0.0
World,TCE,all,2070,917.7639879950095,0.0
World,TCE,all,2080,1494.9408286949079,0.0
World,TCE,all,2090,2435.101083211352,0.0
World,TCE,all,2100,3966.5230701029004,0.0
World,TCE,all,2110,6461.048115879377,0.0
