,Country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,ISO,R12
11,Austria,-91.0,-90.0,-28.0,-6.0,-270.0,-235.0,-257.0,-238.0,-207.0,-214.0,AUT,R12_WEU
12,Austria,-382.0,-363.0,-497.0,-494.0,,,,,,,AUT,R12_WEU
13,Austria,-194.0,-184.0,-252.0,-251.0,-490.0,,,,,,AUT,R12_WEU
14,Austria,7161.0,7041.0,7646.0,7202.0,6752.0,6137.0,6734.0,6575.0,6821.0,6522.0,AUT,R12_WEU
15,Austria,6870.0,6768.0,7177.0,6714.0,7022.0,6372.0,6991.0,6813.0,7028.0,6736.0,AUT,R12_WEU
16,Austria,7058.0,6947.0,7422.0,6957.0,6532.0,6372.0,6991.0,6813.0,7028.0,6736.0,AUT,R12_WEU
23,Belgium,14763.0,16238.0,17442.0,17353.0,16259.0,13101.0,14829.0,14124.0,14047.0,15351.0,BEL,R12_WEU
24,Belgium-Luxembourg,0.0,0.0,0.0,,,,,,,,BEL,R12_WEU
50,Cyprus,-11.0,-12.0,-8.0,98.0,3.0,12.0,3.0,0.0,0.0,0.0,CYP,R12_WEU
55,Denmark,935.0,946.0,984.0,1052.0,1039.0,957.0,1059.0,1153.0,1091.0,971.0,DNK,R12_WEU
67,Finland,0.0,0.0,0.0,0.0,0.0,0.0,,,,,FIN,R12_WEU
68,Finland,1642.0,1664.0,1698.0,2448.0,3237.0,1556.0,2222.0,1970.0,1570.0,1193.0,FIN,R12_WEU
69,France,-783.0,-833.0,-775.0,-823.0,-813.0,-801.0,-1102.0,-897.0,-915.0,,FRA,R12_WEU
70,France,-342.0,-334.0,-265.0,-258.0,-274.0,-184.0,,,,,FRA,R12_WEU
71,France,-185.0,-134.0,-31.0,-62.0,-57.0,-52.0,,,,,FRA,R12_WEU
72,France,13063.0,12656.0,13773.0,13397.0,12527.0,9660.0,11455.0,10613.0,8964.0,9767.0,FRA,R12_WEU
73,France,13504.0,13155.0,14283.0,13962.0,13066.0,10277.0,12557.0,11510.0,9879.0,9767.0,FRA,R12_WEU
74,France,13661.0,13355.0,14517.0,14158.0,13283.0,10409.0,12557.0,11510.0,9879.0,9767.0,FRA,R12_WEU
76,Germany,768.0,887.0,1493.0,1266.0,727.0,519.0,476.0,539.0,,,DEU,R12_WEU
77,Germany,-1011.0,-1044.0,-1213.0,-1271.0,-1088.0,-760.0,-790.0,-710.0,,,DEU,R12_WEU
78,Germany,379.0,447.0,861.0,543.0,134.0,250.0,240.0,340.0,-700.0,,DEU,R12_WEU
79,Germany,24523.0,24916.0,25784.0,25451.0,23567.0,21074.0,23396.0,21777.0,22508.0,22561.0,DEU,R12_WEU
80,Germany,22744.0,22985.0,23078.0,22914.0,21752.0,19795.0,22130.0,20528.0,22508.0,22561.0,DEU,R12_WEU
81,Germany,24134.0,24476.0,25152.0,24728.0,22974.0,20805.0,23160.0,21578.0,21808.0,22561.0,DEU,R12_WEU
83,Greece,0.0,0.0,0.0,0.0,0.0,0.0,,,,,GRC,R12_WEU
84,Greece,507.0,530.0,832.0,1178.0,862.0,998.0,1305.0,1316.0,963.0,1059.0,GRC,R12_WEU
89,Iceland,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ISL,R12_WEU
98,Ireland,0.0,0.0,0.0,,,,,,,,IRL,R12_WEU
99,Ireland,89.0,117.0,87.0,100.0,103.0,86.0,117.0,140.0,104.0,145.0,IRL,R12_WEU
101,Italy,2589.0,2535.0,2619.0,2591.0,2490.0,2191.0,-979.0,-834.0,-824.0,-1251.0,ITA,R12_WEU
102,Italy,-381.0,-441.0,-510.0,-568.0,-564.0,-400.0,,,,,ITA,R12_WEU
103,Italy,2992.0,2974.0,2961.0,2930.0,2916.0,2739.0,,,,,ITA,R12_WEU
104,Italy,15691.0,17015.0,17338.0,17275.0,16958.0,14444.0,16207.0,15157.0,15277.0,13786.0,ITA,R12_WEU
105,Italy,12721.0,14039.0,14209.0,14116.0,13904.0,11853.0,17186.0,15991.0,16101.0,15037.0,ITA,R12_WEU
