,node_loc,technology,year_act,mode,time,value,unit
2,R12_AFR,LNG_shipped_exp_eeu,1993,M1,year,0.0,GWa
3,R12_AFR,gas_piped_exp_eeu,1993,M1,year,0.0,GWa
4,R12_AFR,LNG_shipped_exp_lam,1993,M1,year,0.0,GWa
5,R12_AFR,gas_piped_exp_lam,1993,M1,year,0.0,GWa
6,R12_AFR,LNG_shipped_exp_mea,1993,M1,year,0.0,GWa
7,R12_AFR,gas_piped_exp_mea,1993,M1,year,0.0,GWa
8,R12_AFR,LNG_shipped_exp_rcpa,1993,M1,year,0.0,GWa
9,R12_AFR,gas_piped_exp_rcpa,1993,M1,year,0.0,GWa
10,R12_CHN,LNG_shipped_exp_afr,1993,M1,year,0.0,GWa
11,R12_CHN,gas_piped_exp_afr,1993,M1,year,0.0,GWa
12,R12_CHN,LNG_shipped_exp_eeu,1993,M1,year,0.0,GWa
13,R12_CHN,gas_piped_exp_eeu,1993,M1,year,0.0,GWa
14,R12_CHN,LNG_shipped_exp_lam,1993,M1,year,0.0,GWa
15,R12_CHN,gas_piped_exp_lam,1993,M1,year,0.0,GWa
16,R12_CHN,LNG_shipped_exp_mea,1993,M1,year,0.0,GWa
17,R12_CHN,gas_piped_exp_mea,1993,M1,year,0.0,GWa
18,R12_CHN,LNG_shipped_exp_rcpa,1993,M1,year,0.0,GWa
19,R12_CHN,gas_piped_exp_rcpa,1993,M1,year,0.0,GWa
20,R12_EEU,LNG_shipped_exp_afr,1993,M1,year,0.0,GWa
21,R12_EEU,gas_piped_exp_afr,1993,M1,year,0.0,GWa
24,R12_EEU,LNG_shipped_exp_lam,1993,M1,year,0.0,GWa
25,R12_EEU,gas_piped_exp_lam,1993,M1,year,0.0,GWa
26,R12_EEU,LNG_shipped_exp_mea,1993,M1,year,0.0,GWa
27,R12_EEU,gas_piped_exp_mea,1993,M1,year,0.0,GWa
28,R12_EEU,LNG_shipped_exp_rcpa,1993,M1,year,0.0,GWa
29,R12_EEU,gas_piped_exp_rcpa,1993,M1,year,0.0,GWa
30,R12_FSU,LNG_shipped_exp_afr,1993,M1,year,0.0,GWa
31,R12_FSU,gas_piped_exp_afr,1993,M1,year,0.0,GWa
32,R12_FSU,LNG_shipped_exp_eeu,1993,M1,year,0.0,GWa
33,R12_FSU,gas_piped_exp_eeu,1993,M1,year,46.109343136,GWa
35,R12_FSU,LNG_shipped_exp_lam,1993,M1,year,0.0,GWa
36,R12_FSU,gas_piped_exp_lam,1993,M1,year,0.0,GWa
37,R12_FSU,LNG_shipped_exp_mea,1993,M1,year,0.0,GWa
38,R12_FSU,gas_piped_exp_mea,1993,M1,year,0.0,GWa
39,R12_FSU,LNG_shipped_exp_rcpa,1993,M1,year,0.0,GWa
40,R12_FSU,gas_piped_exp_rcpa,1993,M1,year,0.0,GWa
41,R12_FSU,gas_piped_exp_weu,1993,M1,year,76.09912784,GWa
42,R12_LAM,LNG_shipped_exp_afr,1993,M1,year,0.0,GWa
43,R12_LAM,gas_piped_exp_afr,1993,M1,year,0.0,GWa
44,R12_LAM,LNG_shipped_exp_eeu,1993,M1,year,0.0,GWa
45,R12_LAM,gas_piped_exp_eeu,1993,M1,year,0.0,GWa
48,R12_LAM,LNG_shipped_exp_mea,1993,M1,year,0.0,GWa
49,R12_LAM,gas_piped_exp_mea,1993,M1,year,0.0,GWa
50,R12_LAM,gas_piped_exp_nam,1993,M1,year,0.057271871999999995,GWa
51,R12_LAM,LNG_shipped_exp_rcpa,1993,M1,year,0.0,GWa
52,R12_LAM,gas_piped_exp_rcpa,1993,M1,year,0.0,GWa
53,R12_MEA,LNG_shipped_exp_afr,1993,M1,year,0.0,GWa
54,R12_MEA,gas_piped_exp_afr,1993,M1,year,0.0,GWa
55,R12_MEA,LNG_shipped_exp_eeu,1993,M1,year,0.0,GWa
56,R12_MEA,gas_piped_exp_eeu,1993,M1,year,0.276718912,GWa
57,R12_MEA,gas_piped_exp_fsu,1993,M1,year,0.0023783999999999997,GWa
58,R12_MEA,LNG_shipped_exp_lam,1993,M1,year,0.0,GWa
59,R12_MEA,gas_piped_exp_lam,1993,M1,year,0.0,GWa
62,R12_MEA,LNG_shipped_exp_nam,1993,M1,year,2.7878019199999997,GWa
63,R12_MEA,LNG_shipped_exp_pao,1993,M1,year,4.2950732799999995,GWa
64,R12_MEA,LNG_shipped_exp_rcpa,1993,M1,year,0.0,GWa
65,R12_MEA,gas_piped_exp_rcpa,1993,M1,year,0.0,GWa
66,R12_MEA,LNG_shipped_exp_weu,1993,M1,year,24.719155167999997,GWa
67,R12_MEA,gas_piped_exp_weu,1993,M1,year,16.52052496,GWa
68,R12_NAM,LNG_shipped_exp_afr,1993,M1,year,0.0,GWa
69,R12_NAM,gas_piped_exp_afr,1993,M1,year,0.0,GWa
70,R12_NAM,LNG_shipped_exp_eeu,1993,M1,year,0.0,GWa
71,R12_NAM,gas_piped_exp_eeu,1993,M1,year,0.0,GWa
72,R12_NAM,LNG_shipped_exp_lam,1993,M1,year,0.0,GWa
73,R12_NAM,gas_piped_exp_lam,1993,M1,year,1.2995584258108335,GWa
74,R12_NAM,LNG_shipped_exp_mea,1993,M1,year,0.0,GWa
75,R12_NAM,gas_piped_exp_mea,1993,M1,year,0.0,GWa
77,R12_NAM,LNG_shipped_exp_pao,1993,M1,year,1.9758930481746337,GWa
78,R12_NAM,LNG_shipped_exp_rcpa,1993,M1,year,0.0,GWa
79,R12_NAM,gas_piped_exp_rcpa,1993,M1,year,0.0,GWa
80,R12_PAO,LNG_shipped_exp_afr,1993,M1,year,0.0,GWa
81,R12_PAO,gas_piped_exp_afr,1993,M1,year,0.0,GWa
82,R12_PAO,LNG_shipped_exp_eeu,1993,M1,year,0.0,GWa
83,R12_PAO,gas_piped_exp_eeu,1993,M1,year,0.0,GWa
84,R12_PAO,LNG_shipped_exp_lam,1993,M1,year,0.0,GWa
85,R12_PAO,gas_piped_exp_lam,1993,M1,year,0.0,GWa
86,R12_PAO,LNG_shipped_exp_mea,1993,M1,year,0.0,GWa
87,R12_PAO,gas_piped_exp_mea,1993,M1,year,0.0,GWa
89,R12_PAO,LNG_shipped_exp_pas,1993,M1,year,0.09808521599999999,GWa
90,R12_PAO,LNG_shipped_exp_rcpa,1993,M1,year,0.0,GWa
