MODEL,SCENARIO,YEAR,EXPORTER,IMPORTER,MESSAGETEC,LEVEL,UNITS,COMMODITY
NP_SSP2,pipelines_LNG,2010,R12_AFR,R12_CHN,LNG_shipped_exp_chn,0.318515328,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2015,R12_AFR,R12_CHN,LNG_shipped_exp_chn,0.9877019519999999,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2020,R12_AFR,R12_CHN,LNG_shipped_exp_chn,5.571180428256,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2025,R12_AFR,R12_CHN,LNG_shipped_exp_chn,2.2262961826559997,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2030,R12_AFR,R12_CHN,LNG_shipped_exp_chn,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2035,R12_AFR,R12_CHN,LNG_shipped_exp_chn,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2040,R12_AFR,R12_CHN,LNG_shipped_exp_chn,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2045,R12_AFR,R12_CHN,LNG_shipped_exp_chn,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2050,R12_AFR,R12_CHN,LNG_shipped_exp_chn,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2055,R12_AFR,R12_CHN,LNG_shipped_exp_chn,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2060,R12_AFR,R12_CHN,LNG_shipped_exp_chn,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2070,R12_AFR,R12_CHN,LNG_shipped_exp_chn,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2080,R12_AFR,R12_CHN,LNG_shipped_exp_chn,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2090,R12_AFR,R12_CHN,LNG_shipped_exp_chn,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2100,R12_AFR,R12_CHN,LNG_shipped_exp_chn,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2110,R12_AFR,R12_CHN,LNG_shipped_exp_chn,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2020,R12_AFR,R12_EEU,LNG_shipped_exp_eeu,0.098145246816,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2025,R12_AFR,R12_EEU,LNG_shipped_exp_eeu,0.45624174905599996,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2030,R12_AFR,R12_EEU,LNG_shipped_exp_eeu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2035,R12_AFR,R12_EEU,LNG_shipped_exp_eeu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2040,R12_AFR,R12_EEU,LNG_shipped_exp_eeu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2045,R12_AFR,R12_EEU,LNG_shipped_exp_eeu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2050,R12_AFR,R12_EEU,LNG_shipped_exp_eeu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2055,R12_AFR,R12_EEU,LNG_shipped_exp_eeu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2060,R12_AFR,R12_EEU,LNG_shipped_exp_eeu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2070,R12_AFR,R12_EEU,LNG_shipped_exp_eeu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2080,R12_AFR,R12_EEU,LNG_shipped_exp_eeu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2090,R12_AFR,R12_EEU,LNG_shipped_exp_eeu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2100,R12_AFR,R12_EEU,LNG_shipped_exp_eeu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2110,R12_AFR,R12_EEU,LNG_shipped_exp_eeu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2030,R12_AFR,R12_FSU,LNG_shipped_exp_fsu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2035,R12_AFR,R12_FSU,LNG_shipped_exp_fsu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2040,R12_AFR,R12_FSU,LNG_shipped_exp_fsu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2045,R12_AFR,R12_FSU,LNG_shipped_exp_fsu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2050,R12_AFR,R12_FSU,LNG_shipped_exp_fsu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2055,R12_AFR,R12_FSU,LNG_shipped_exp_fsu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2060,R12_AFR,R12_FSU,LNG_shipped_exp_fsu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2070,R12_AFR,R12_FSU,LNG_shipped_exp_fsu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2080,R12_AFR,R12_FSU,LNG_shipped_exp_fsu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2090,R12_AFR,R12_FSU,LNG_shipped_exp_fsu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2100,R12_AFR,R12_FSU,LNG_shipped_exp_fsu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2110,R12_AFR,R12_FSU,LNG_shipped_exp_fsu,0.0,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2010,R12_AFR,R12_LAM,LNG_shipped_exp_lam,5.228230591999999,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2015,R12_AFR,R12_LAM,LNG_shipped_exp_lam,7.054746655999999,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2020,R12_AFR,R12_LAM,LNG_shipped_exp_lam,1.011445138656,GWa,LNG (GWa)
NP_SSP2,pipelines_LNG,2025,R12_AFR,R12_LAM,LNG_shipped_exp_lam,0.21116586345599997,GWa,LNG (GWa)
