MODEL,SCENARIO,VARIABLETYPE,YEAR,EXPORTER,IMPORTER,MESSAGETEC,COMMODITY,LEVEL,UNITS,PAIR,PULL DATE
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2025,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,1062.0,GWa,R12_AFR-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2030,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_AFR-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2035,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_AFR-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2040,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.2,GWa,R12_AFR-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2045,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_AFR-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2050,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_AFR-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2055,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_AFR-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2060,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_AFR-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2070,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_AFR-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2080,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_AFR-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2090,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_AFR-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2100,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_AFR-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2110,R12_AFR,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_AFR-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2025,R12_AFR,R12_LOIL,LNG_tanker_loil,lightoil,265.5,GWa,R12_AFR-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2030,R12_AFR,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_AFR-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2035,R12_AFR,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_AFR-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2040,R12_AFR,R12_LOIL,LNG_tanker_loil,lightoil,0.1,GWa,R12_AFR-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2045,R12_AFR,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_AFR-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2050,R12_AFR,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_AFR-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2055,R12_AFR,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_AFR-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2060,R12_AFR,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_AFR-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2070,R12_AFR,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_AFR-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2080,R12_AFR,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_AFR-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2090,R12_AFR,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_AFR-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2100,R12_AFR,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_AFR-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2110,R12_AFR,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_AFR-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2025,R12_CHN,R12_LNG,LNG_tanker_LNG,LNG,1898.9,GWa,R12_CHN-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2030,R12_CHN,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_CHN-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2035,R12_CHN,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_CHN-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2040,R12_CHN,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_CHN-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2045,R12_CHN,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_CHN-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2050,R12_CHN,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_CHN-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2055,R12_CHN,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_CHN-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2060,R12_CHN,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_CHN-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2070,R12_CHN,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_CHN-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2080,R12_CHN,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_CHN-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2090,R12_CHN,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_CHN-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2100,R12_CHN,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_CHN-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2110,R12_CHN,R12_LNG,LNG_tanker_LNG,LNG,0.0,GWa,R12_CHN-R12_LNG,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2025,R12_CHN,R12_LOIL,LNG_tanker_loil,lightoil,474.7,GWa,R12_CHN-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2030,R12_CHN,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_CHN-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2035,R12_CHN,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_CHN-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2040,R12_CHN,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_CHN-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2045,R12_CHN,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_CHN-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2050,R12_CHN,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_CHN-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2055,R12_CHN,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_CHN-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2060,R12_CHN,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_CHN-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2070,R12_CHN,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_CHN-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2080,R12_CHN,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_CHN-R12_LOIL,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2090,R12_CHN,R12_LOIL,LNG_tanker_loil,lightoil,0.0,GWa,R12_CHN-R12_LOIL,2025-10-13
