MODEL,SCENARIO,YEAR,EXPORTER,IMPORTER,MESSAGETEC,LEVEL,UNITS,COMMODITY
NP_SSP2_6.2,gas-LNG-coal,2010,R12_AFR,R12_CHN,coal_shipped_exp_chn,5.5,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2015,R12_AFR,R12_CHN,coal_shipped_exp_chn,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2020,R12_AFR,R12_CHN,coal_shipped_exp_chn,0.5,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2030,R12_AFR,R12_CHN,coal_shipped_exp_chn,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2035,R12_AFR,R12_CHN,coal_shipped_exp_chn,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2040,R12_AFR,R12_CHN,coal_shipped_exp_chn,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2045,R12_AFR,R12_CHN,coal_shipped_exp_chn,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2050,R12_AFR,R12_CHN,coal_shipped_exp_chn,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2055,R12_AFR,R12_CHN,coal_shipped_exp_chn,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2060,R12_AFR,R12_CHN,coal_shipped_exp_chn,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2070,R12_AFR,R12_CHN,coal_shipped_exp_chn,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2080,R12_AFR,R12_CHN,coal_shipped_exp_chn,25.2,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2090,R12_AFR,R12_CHN,coal_shipped_exp_chn,66.1,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2100,R12_AFR,R12_CHN,coal_shipped_exp_chn,132.9,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2110,R12_AFR,R12_CHN,coal_shipped_exp_chn,63.5,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2010,R12_AFR,R12_EEU,coal_shipped_exp_eeu,0.2,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2015,R12_AFR,R12_EEU,coal_shipped_exp_eeu,0.2,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2020,R12_AFR,R12_EEU,coal_shipped_exp_eeu,107.1,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2030,R12_AFR,R12_EEU,coal_shipped_exp_eeu,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2035,R12_AFR,R12_EEU,coal_shipped_exp_eeu,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2040,R12_AFR,R12_EEU,coal_shipped_exp_eeu,11.1,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2045,R12_AFR,R12_EEU,coal_shipped_exp_eeu,13.2,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2050,R12_AFR,R12_EEU,coal_shipped_exp_eeu,19.6,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2055,R12_AFR,R12_EEU,coal_shipped_exp_eeu,6.1,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2060,R12_AFR,R12_EEU,coal_shipped_exp_eeu,15.3,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2070,R12_AFR,R12_EEU,coal_shipped_exp_eeu,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2080,R12_AFR,R12_EEU,coal_shipped_exp_eeu,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2090,R12_AFR,R12_EEU,coal_shipped_exp_eeu,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2100,R12_AFR,R12_EEU,coal_shipped_exp_eeu,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2110,R12_AFR,R12_EEU,coal_shipped_exp_eeu,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2010,R12_AFR,R12_FSU,coal_shipped_exp_fsu,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2015,R12_AFR,R12_FSU,coal_shipped_exp_fsu,0.9,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2020,R12_AFR,R12_FSU,coal_shipped_exp_fsu,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2030,R12_AFR,R12_FSU,coal_shipped_exp_fsu,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2035,R12_AFR,R12_FSU,coal_shipped_exp_fsu,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2040,R12_AFR,R12_FSU,coal_shipped_exp_fsu,11.1,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2045,R12_AFR,R12_FSU,coal_shipped_exp_fsu,25.1,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2050,R12_AFR,R12_FSU,coal_shipped_exp_fsu,20.9,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2055,R12_AFR,R12_FSU,coal_shipped_exp_fsu,7.1,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2060,R12_AFR,R12_FSU,coal_shipped_exp_fsu,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2070,R12_AFR,R12_FSU,coal_shipped_exp_fsu,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2080,R12_AFR,R12_FSU,coal_shipped_exp_fsu,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2090,R12_AFR,R12_FSU,coal_shipped_exp_fsu,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2100,R12_AFR,R12_FSU,coal_shipped_exp_fsu,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2110,R12_AFR,R12_FSU,coal_shipped_exp_fsu,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2010,R12_AFR,R12_LAM,coal_shipped_exp_lam,2.9,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2015,R12_AFR,R12_LAM,coal_shipped_exp_lam,1.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2020,R12_AFR,R12_LAM,coal_shipped_exp_lam,0.6,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2030,R12_AFR,R12_LAM,coal_shipped_exp_lam,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2035,R12_AFR,R12_LAM,coal_shipped_exp_lam,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2040,R12_AFR,R12_LAM,coal_shipped_exp_lam,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2045,R12_AFR,R12_LAM,coal_shipped_exp_lam,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2050,R12_AFR,R12_LAM,coal_shipped_exp_lam,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2055,R12_AFR,R12_LAM,coal_shipped_exp_lam,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2060,R12_AFR,R12_LAM,coal_shipped_exp_lam,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2070,R12_AFR,R12_LAM,coal_shipped_exp_lam,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2080,R12_AFR,R12_LAM,coal_shipped_exp_lam,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2090,R12_AFR,R12_LAM,coal_shipped_exp_lam,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2100,R12_AFR,R12_LAM,coal_shipped_exp_lam,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2110,R12_AFR,R12_LAM,coal_shipped_exp_lam,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2010,R12_AFR,R12_MEA,coal_shipped_exp_mea,5.4,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2015,R12_AFR,R12_MEA,coal_shipped_exp_mea,12.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2020,R12_AFR,R12_MEA,coal_shipped_exp_mea,2.8,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2030,R12_AFR,R12_MEA,coal_shipped_exp_mea,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2035,R12_AFR,R12_MEA,coal_shipped_exp_mea,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2040,R12_AFR,R12_MEA,coal_shipped_exp_mea,4.2,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2045,R12_AFR,R12_MEA,coal_shipped_exp_mea,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2050,R12_AFR,R12_MEA,coal_shipped_exp_mea,1.4,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2055,R12_AFR,R12_MEA,coal_shipped_exp_mea,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2060,R12_AFR,R12_MEA,coal_shipped_exp_mea,1.4,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2070,R12_AFR,R12_MEA,coal_shipped_exp_mea,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2080,R12_AFR,R12_MEA,coal_shipped_exp_mea,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2090,R12_AFR,R12_MEA,coal_shipped_exp_mea,1.4,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2100,R12_AFR,R12_MEA,coal_shipped_exp_mea,3.6,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2110,R12_AFR,R12_MEA,coal_shipped_exp_mea,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2010,R12_AFR,R12_NAM,coal_shipped_exp_nam,0.2,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2015,R12_AFR,R12_NAM,coal_shipped_exp_nam,0.8,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2020,R12_AFR,R12_NAM,coal_shipped_exp_nam,15.6,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2030,R12_AFR,R12_NAM,coal_shipped_exp_nam,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2035,R12_AFR,R12_NAM,coal_shipped_exp_nam,10.3,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2040,R12_AFR,R12_NAM,coal_shipped_exp_nam,18.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2045,R12_AFR,R12_NAM,coal_shipped_exp_nam,4.9,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2050,R12_AFR,R12_NAM,coal_shipped_exp_nam,17.3,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2055,R12_AFR,R12_NAM,coal_shipped_exp_nam,4.3,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2060,R12_AFR,R12_NAM,coal_shipped_exp_nam,0.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2070,R12_AFR,R12_NAM,coal_shipped_exp_nam,7.2,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2080,R12_AFR,R12_NAM,coal_shipped_exp_nam,21.4,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2090,R12_AFR,R12_NAM,coal_shipped_exp_nam,29.2,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2100,R12_AFR,R12_NAM,coal_shipped_exp_nam,34.0,GWa,Coal (GWa)
NP_SSP2_6.2,gas-LNG-coal,2110,R12_AFR,R12_NAM,coal_shipped_exp_nam,43.3,GWa,Coal (GWa)
