MODEL,SCENARIO,YEAR,IMPORTER,MESSAGETEC,LEVEL,UNITS,COMMODITY,PULL DATE
NP_SSP2_6.2,PGLNG-C-CRSCRP,2030,R12_AFR,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2035,R12_AFR,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2040,R12_AFR,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2045,R12_AFR,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2050,R12_AFR,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2055,R12_AFR,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2060,R12_AFR,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2070,R12_AFR,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2080,R12_AFR,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2090,R12_AFR,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2100,R12_AFR,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2110,R12_AFR,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2030,R12_CHN,coal_shipped_imp,11.1,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2035,R12_CHN,coal_shipped_imp,11.7,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2040,R12_CHN,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2045,R12_CHN,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2050,R12_CHN,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2055,R12_CHN,coal_shipped_imp,8.5,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2060,R12_CHN,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2070,R12_CHN,coal_shipped_imp,5.2,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2080,R12_CHN,coal_shipped_imp,33.7,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2090,R12_CHN,coal_shipped_imp,80.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2100,R12_CHN,coal_shipped_imp,155.4,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2110,R12_CHN,coal_shipped_imp,77.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2030,R12_EEU,coal_shipped_imp,11.1,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2035,R12_EEU,coal_shipped_imp,11.7,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2040,R12_EEU,coal_shipped_imp,16.7,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2045,R12_EEU,coal_shipped_imp,15.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2050,R12_EEU,coal_shipped_imp,23.4,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2055,R12_EEU,coal_shipped_imp,15.7,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2060,R12_EEU,coal_shipped_imp,14.3,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2070,R12_EEU,coal_shipped_imp,7.9,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2080,R12_EEU,coal_shipped_imp,4.6,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2090,R12_EEU,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2100,R12_EEU,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2110,R12_EEU,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2030,R12_FSU,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2035,R12_FSU,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2040,R12_FSU,coal_shipped_imp,11.1,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2045,R12_FSU,coal_shipped_imp,22.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2050,R12_FSU,coal_shipped_imp,14.6,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2055,R12_FSU,coal_shipped_imp,2.3,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2060,R12_FSU,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2070,R12_FSU,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2080,R12_FSU,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2090,R12_FSU,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2100,R12_FSU,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2110,R12_FSU,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2030,R12_LAM,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2035,R12_LAM,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2040,R12_LAM,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2045,R12_LAM,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2050,R12_LAM,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2055,R12_LAM,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2060,R12_LAM,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2070,R12_LAM,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2080,R12_LAM,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2090,R12_LAM,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2100,R12_LAM,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2110,R12_LAM,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
