MODEL,SCENARIO,YEAR,IMPORTER,MESSAGETEC,LEVEL,UNITS,COMMODITY,PULL DATE
NP_SSP2_6.2,base_scenario,2030,R12_AFR,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2035,R12_AFR,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2040,R12_AFR,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2045,R12_AFR,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2050,R12_AFR,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2055,R12_AFR,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2060,R12_AFR,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2070,R12_AFR,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2080,R12_AFR,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2090,R12_AFR,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2100,R12_AFR,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2110,R12_AFR,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2020,R12_AFR,meth_imp,0.1,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2025,R12_AFR,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2030,R12_AFR,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2035,R12_AFR,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2040,R12_AFR,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2045,R12_AFR,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2050,R12_AFR,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2055,R12_AFR,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2060,R12_AFR,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2070,R12_AFR,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2080,R12_AFR,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2090,R12_AFR,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2100,R12_AFR,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2110,R12_AFR,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2030,R12_CHN,eth_imp,0.1,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2035,R12_CHN,eth_imp,0.2,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2040,R12_CHN,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2045,R12_CHN,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2050,R12_CHN,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2055,R12_CHN,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2060,R12_CHN,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2070,R12_CHN,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2080,R12_CHN,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2090,R12_CHN,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2100,R12_CHN,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2110,R12_CHN,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2020,R12_CHN,meth_imp,2.9,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2025,R12_CHN,meth_imp,3.4,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2030,R12_CHN,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2035,R12_CHN,meth_imp,0.4,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2040,R12_CHN,meth_imp,11.7,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2045,R12_CHN,meth_imp,4.4,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2050,R12_CHN,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2055,R12_CHN,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2060,R12_CHN,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2070,R12_CHN,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2080,R12_CHN,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2090,R12_CHN,meth_imp,15.2,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2100,R12_CHN,meth_imp,28.1,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2110,R12_CHN,meth_imp,30.7,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2010,R12_EEU,eth_imp,0.5,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2020,R12_EEU,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2025,R12_EEU,eth_imp,0.3,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2030,R12_EEU,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
