MODEL,SCENARIO,YEAR,IMPORTER,MESSAGETEC,LEVEL,UNITS,COMMODITY,PULL DATE
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2030,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2035,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2040,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2045,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2050,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2055,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2060,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2070,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2080,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2090,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2100,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2110,R12_AFR,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2030,R12_CHN,gas_piped_imp,91.5,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2035,R12_CHN,gas_piped_imp,113.5,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2040,R12_CHN,gas_piped_imp,90.9,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2045,R12_CHN,gas_piped_imp,70.3,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2050,R12_CHN,gas_piped_imp,54.4,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2055,R12_CHN,gas_piped_imp,42.1,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2060,R12_CHN,gas_piped_imp,32.6,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2070,R12_CHN,gas_piped_imp,31.6,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2080,R12_CHN,gas_piped_imp,31.2,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2090,R12_CHN,gas_piped_imp,31.0,GWa,gas (GWa),2025-10-10
