MODEL,SCENARIO,YEAR,EXPORTER,IMPORTER,MESSAGETEC,COMMODITY,LEVEL,UNITS,PAIR
NP_SSP2_6.2,pipelines_LNG,2030,R12_AFR,R12_MEA,gas_pipe_mea,gas,0.0,GWa,R12_AFR-R12_MEA
NP_SSP2_6.2,pipelines_LNG,2035,R12_AFR,R12_MEA,gas_pipe_mea,gas,0.0,GWa,R12_AFR-R12_MEA
NP_SSP2_6.2,pipelines_LNG,2040,R12_AFR,R12_MEA,gas_pipe_mea,gas,0.0,GWa,R12_AFR-R12_MEA
NP_SSP2_6.2,pipelines_LNG,2045,R12_AFR,R12_MEA,gas_pipe_mea,gas,0.0,GWa,R12_AFR-R12_MEA
NP_SSP2_6.2,pipelines_LNG,2050,R12_AFR,R12_MEA,gas_pipe_mea,gas,0.0,GWa,R12_AFR-R12_MEA
NP_SSP2_6.2,pipelines_LNG,2055,R12_AFR,R12_MEA,gas_pipe_mea,gas,0.0,GWa,R12_AFR-R12_MEA
NP_SSP2_6.2,pipelines_LNG,2060,R12_AFR,R12_MEA,gas_pipe_mea,gas,0.0,GWa,R12_AFR-R12_MEA
NP_SSP2_6.2,pipelines_LNG,2070,R12_AFR,R12_MEA,gas_pipe_mea,gas,0.0,GWa,R12_AFR-R12_MEA
NP_SSP2_6.2,pipelines_LNG,2080,R12_AFR,R12_MEA,gas_pipe_mea,gas,0.0,GWa,R12_AFR-R12_MEA
NP_SSP2_6.2,pipelines_LNG,2090,R12_AFR,R12_MEA,gas_pipe_mea,gas,0.0,GWa,R12_AFR-R12_MEA
NP_SSP2_6.2,pipelines_LNG,2100,R12_AFR,R12_MEA,gas_pipe_mea,gas,0.0,GWa,R12_AFR-R12_MEA
NP_SSP2_6.2,pipelines_LNG,2110,R12_AFR,R12_MEA,gas_pipe_mea,gas,0.0,GWa,R12_AFR-R12_MEA
NP_SSP2_6.2,pipelines_LNG,2030,R12_AFR,R12_WEU,gas_pipe_weu,gas,0.0,GWa,R12_AFR-R12_WEU
NP_SSP2_6.2,pipelines_LNG,2035,R12_AFR,R12_WEU,gas_pipe_weu,gas,0.0,GWa,R12_AFR-R12_WEU
NP_SSP2_6.2,pipelines_LNG,2040,R12_AFR,R12_WEU,gas_pipe_weu,gas,0.0,GWa,R12_AFR-R12_WEU
NP_SSP2_6.2,pipelines_LNG,2045,R12_AFR,R12_WEU,gas_pipe_weu,gas,0.0,GWa,R12_AFR-R12_WEU
NP_SSP2_6.2,pipelines_LNG,2050,R12_AFR,R12_WEU,gas_pipe_weu,gas,0.0,GWa,R12_AFR-R12_WEU
NP_SSP2_6.2,pipelines_LNG,2055,R12_AFR,R12_WEU,gas_pipe_weu,gas,0.0,GWa,R12_AFR-R12_WEU
NP_SSP2_6.2,pipelines_LNG,2060,R12_AFR,R12_WEU,gas_pipe_weu,gas,0.0,GWa,R12_AFR-R12_WEU
NP_SSP2_6.2,pipelines_LNG,2070,R12_AFR,R12_WEU,gas_pipe_weu,gas,0.0,GWa,R12_AFR-R12_WEU
NP_SSP2_6.2,pipelines_LNG,2080,R12_AFR,R12_WEU,gas_pipe_weu,gas,0.0,GWa,R12_AFR-R12_WEU
NP_SSP2_6.2,pipelines_LNG,2090,R12_AFR,R12_WEU,gas_pipe_weu,gas,0.0,GWa,R12_AFR-R12_WEU
NP_SSP2_6.2,pipelines_LNG,2100,R12_AFR,R12_WEU,gas_pipe_weu,gas,0.0,GWa,R12_AFR-R12_WEU
NP_SSP2_6.2,pipelines_LNG,2110,R12_AFR,R12_WEU,gas_pipe_weu,gas,0.0,GWa,R12_AFR-R12_WEU
NP_SSP2_6.2,pipelines_LNG,2030,R12_CHN,R12_FSU,gas_pipe_fsu,gas,0.0,GWa,R12_CHN-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2035,R12_CHN,R12_FSU,gas_pipe_fsu,gas,0.0,GWa,R12_CHN-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2040,R12_CHN,R12_FSU,gas_pipe_fsu,gas,0.0,GWa,R12_CHN-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2045,R12_CHN,R12_FSU,gas_pipe_fsu,gas,0.0,GWa,R12_CHN-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2050,R12_CHN,R12_FSU,gas_pipe_fsu,gas,0.0,GWa,R12_CHN-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2055,R12_CHN,R12_FSU,gas_pipe_fsu,gas,0.0,GWa,R12_CHN-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2060,R12_CHN,R12_FSU,gas_pipe_fsu,gas,0.0,GWa,R12_CHN-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2070,R12_CHN,R12_FSU,gas_pipe_fsu,gas,0.0,GWa,R12_CHN-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2080,R12_CHN,R12_FSU,gas_pipe_fsu,gas,0.0,GWa,R12_CHN-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2090,R12_CHN,R12_FSU,gas_pipe_fsu,gas,0.0,GWa,R12_CHN-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2100,R12_CHN,R12_FSU,gas_pipe_fsu,gas,0.0,GWa,R12_CHN-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2110,R12_CHN,R12_FSU,gas_pipe_fsu,gas,0.0,GWa,R12_CHN-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2025,R12_EEU,R12_FSU,gas_pipe_fsu,gas,0.5700000000000001,GWa,R12_EEU-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2030,R12_EEU,R12_FSU,gas_pipe_fsu,gas,0.020362152591460875,GWa,R12_EEU-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2035,R12_EEU,R12_FSU,gas_pipe_fsu,gas,0.013493654896738651,GWa,R12_EEU-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2040,R12_EEU,R12_FSU,gas_pipe_fsu,gas,0.0181789423112999,GWa,R12_EEU-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2045,R12_EEU,R12_FSU,gas_pipe_fsu,gas,0.01406651902439605,GWa,R12_EEU-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2050,R12_EEU,R12_FSU,gas_pipe_fsu,gas,0.010884404278058762,GWa,R12_EEU-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2055,R12_EEU,R12_FSU,gas_pipe_fsu,gas,0.00842214454640532,GWa,R12_EEU-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2060,R12_EEU,R12_FSU,gas_pipe_fsu,gas,0.0,GWa,R12_EEU-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2070,R12_EEU,R12_FSU,gas_pipe_fsu,gas,0.0039019057074873784,GWa,R12_EEU-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2080,R12_EEU,R12_FSU,gas_pipe_fsu,gas,0.0023362150804977543,GWa,R12_EEU-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2090,R12_EEU,R12_FSU,gas_pipe_fsu,gas,0.0013987782666997682,GWa,R12_EEU-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2100,R12_EEU,R12_FSU,gas_pipe_fsu,gas,0.000837500218076984,GWa,R12_EEU-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2110,R12_EEU,R12_FSU,gas_pipe_fsu,gas,0.0005014423171828883,GWa,R12_EEU-R12_FSU
NP_SSP2_6.2,pipelines_LNG,2025,R12_EEU,R12_WEU,gas_pipe_weu,gas,1.843,GWa,R12_EEU-R12_WEU
NP_SSP2_6.2,pipelines_LNG,2030,R12_EEU,R12_WEU,gas_pipe_weu,gas,0.0,GWa,R12_EEU-R12_WEU
NP_SSP2_6.2,pipelines_LNG,2035,R12_EEU,R12_WEU,gas_pipe_weu,gas,0.0,GWa,R12_EEU-R12_WEU
NP_SSP2_6.2,pipelines_LNG,2040,R12_EEU,R12_WEU,gas_pipe_weu,gas,0.0,GWa,R12_EEU-R12_WEU
NP_SSP2_6.2,pipelines_LNG,2045,R12_EEU,R12_WEU,gas_pipe_weu,gas,0.0,GWa,R12_EEU-R12_WEU
